,BVP,timestamp
45260,-17.82,1637350058.171875
45261,-21.31,1637350058.1875
45262,-24.4,1637350058.203125
45263,-26.72,1637350058.21875
45264,-28.12,1637350058.234375
45265,-28.8,1637350058.25
45266,-29.3,1637350058.265625
45267,-30.39,1637350058.28125
45268,-32.81,1637350058.296875
45269,-36.95,1637350058.3125
45270,-42.59,1637350058.328125
45271,-48.65,1637350058.34375
45272,-53.27,1637350058.359375
45273,-54.22,1637350058.375
45274,-49.54,1637350058.390625
45275,-38.3,1637350058.40625
45276,-21.22,1637350058.421875
45277,-0.65,1637350058.4375
45278,20.06,1637350058.453125
45279,37.54,1637350058.46875
45280,49.47,1637350058.484375
45281,55.11,1637350058.5
45282,55.24,1637350058.515625
45283,51.55,1637350058.53125
45284,45.87,1637350058.546875
45285,39.66,1637350058.5625
45286,33.74,1637350058.578125
45287,28.49,1637350058.59375
45288,24.0,1637350058.609375
45289,20.28,1637350058.625
45290,17.28,1637350058.640625
45291,14.92,1637350058.65625
45292,13.08,1637350058.671875
45293,11.6,1637350058.6875
45294,10.4,1637350058.703125
45295,9.46,1637350058.71875
45296,8.8,1637350058.734375
45297,8.45,1637350058.75
45298,8.35,1637350058.765625
45299,8.46,1637350058.78125
45300,8.67,1637350058.796875
45301,8.88,1637350058.8125
45302,8.94,1637350058.828125
45303,8.67,1637350058.84375
45304,7.89,1637350058.859375
45305,6.44,1637350058.875
45306,4.29,1637350058.890625
45307,1.55,1637350058.90625
45308,-1.51,1637350058.921875
45309,-4.57,1637350058.9375
45310,-7.34,1637350058.953125
45311,-9.64,1637350058.96875
45312,-11.41,1637350058.984375
45313,-12.69,1637350059.0
45314,-13.63,1637350059.015625
45315,-14.52,1637350059.03125
45316,-15.77,1637350059.046875
45317,-17.92,1637350059.0625
45318,-21.48,1637350059.078125
45319,-26.62,1637350059.09375
45320,-32.9,1637350059.109375
45321,-39.05,1637350059.125
45322,-43.09,1637350059.140625
45323,-42.91,1637350059.15625
45324,-37.01,1637350059.171875
45325,-25.25,1637350059.1875
45326,-9.11,1637350059.203125
45327,8.63,1637350059.21875
45328,24.77,1637350059.234375
45329,36.74,1637350059.25
45330,43.37,1637350059.265625
45331,44.95,1637350059.28125
45332,42.8,1637350059.296875
45333,38.49,1637350059.3125
45334,33.25,1637350059.328125
45335,27.8,1637350059.34375
45336,22.47,1637350059.359375
45337,17.5,1637350059.375
45338,13.14,1637350059.390625
45339,9.65,1637350059.40625
45340,7.1,1637350059.421875
45341,5.35,1637350059.4375
45342,4.07,1637350059.453125
45343,2.98,1637350059.46875
45344,1.96,1637350059.484375
45345,1.11,1637350059.5
45346,0.6,1637350059.515625
45347,0.53,1637350059.53125
45348,0.81,1637350059.546875
45349,1.17,1637350059.5625
45350,1.33,1637350059.578125
45351,1.1,1637350059.59375
45352,0.45,1637350059.609375
45353,-0.53,1637350059.625
45354,-1.79,1637350059.640625
45355,-3.41,1637350059.65625
45356,-5.56,1637350059.671875
45357,-8.41,1637350059.6875
45358,-11.99,1637350059.703125
45359,-16.06,1637350059.71875
45360,-20.15,1637350059.734375
45361,-23.73,1637350059.75
45362,-26.38,1637350059.765625
45363,-28.04,1637350059.78125
45364,-28.95,1637350059.796875
45365,-29.58,1637350059.8125
45366,-30.44,1637350059.828125
45367,-32.08,1637350059.84375
45368,-34.92,1637350059.859375
45369,-39.22,1637350059.875
45370,-44.82,1637350059.890625
45371,-50.8,1637350059.90625
45372,-55.43,1637350059.921875
45373,-56.36,1637350059.9375
45374,-51.38,1637350059.953125
45375,-39.43,1637350059.96875
45376,-21.3,1637350059.984375
45377,0.35,1637350060.0
45378,21.7,1637350060.015625
45379,39.1,1637350060.03125
45380,50.3,1637350060.046875
45381,54.93,1637350060.0625
45382,54.34,1637350060.078125
45383,50.64,1637350060.09375
45384,45.72,1637350060.109375
45385,40.75,1637350060.125
45386,36.06,1637350060.140625
45387,31.61,1637350060.15625
45388,27.33,1637350060.171875
45389,23.38,1637350060.1875
45390,20.05,1637350060.203125
45391,17.48,1637350060.21875
45392,15.54,1637350060.234375
45393,13.89,1637350060.25
45394,12.13,1637350060.265625
45395,10.16,1637350060.28125
45396,8.14,1637350060.296875
45397,6.49,1637350060.3125
45398,5.57,1637350060.328125
45399,5.39,1637350060.34375
45400,5.63,1637350060.359375
45401,5.67,1637350060.375
45402,4.98,1637350060.390625
45403,3.35,1637350060.40625
45404,1.01,1637350060.421875
45405,-1.56,1637350060.4375
45406,-3.93,1637350060.453125
45407,-5.92,1637350060.46875
45408,-7.77,1637350060.484375
45409,-9.88,1637350060.5
45410,-12.63,1637350060.515625
45411,-16.06,1637350060.53125
45412,-19.81,1637350060.546875
45413,-23.32,1637350060.5625
45414,-26.07,1637350060.578125
45415,-27.87,1637350060.59375
45416,-28.95,1637350060.609375
45417,-29.91,1637350060.625
45418,-31.48,1637350060.640625
45419,-34.36,1637350060.65625
45420,-38.93,1637350060.671875
45421,-44.95,1637350060.6875
45422,-51.36,1637350060.703125
45423,-56.27,1637350060.71875
45424,-57.28,1637350060.734375
45425,-52.23,1637350060.75
45426,-40.15,1637350060.765625
45427,-21.84,1637350060.78125
45428,0.1,1637350060.796875
45429,21.96,1637350060.8125
45430,40.22,1637350060.828125
45431,52.58,1637350060.84375
45432,58.51,1637350060.859375
45433,58.94,1637350060.875
45434,55.63,1637350060.890625
45435,50.29,1637350060.90625
45436,44.15,1637350060.921875
45437,38.0,1637350060.9375
